Department,Module Code , Title,Credits,
Accounting and Finance,AC6043 , RESEARCH DISSERTATION IN BUSINESS,24,
Accounting and Finance,AC6051 , FINANCIAL REPORTING,6,
Accounting and Finance,AC6052 , CORPORATE FINANCE,6,
Accounting and Finance,AC6061 , FINANCIAL ANALYSIS AND GOVERNANCE,6,
Accounting and Finance,AC6062 , FINANCIAL ISSUES FOR SMALL AND MEDIUM ENTERPRISES,3,
Accounting and Finance,AC6081 , DECISION MAKING AND FINANCIAL MANAGEMENT IN MANAGEMENT PRACTICE,6,
Accounting and Finance,AC6091 , FINANCIAL MANAGEMENT AND DECISION MAKING FOR SUPPLY CHAIN MANAGEMENT,6,
Accounting and Finance,AC6111 , FINANCIAL MANAGEMENT AND DECISION MAKING,6,
Accounting and Finance,AC6112 , STRATEGIC FINANCIAL PERFORMANCE AND MANAGEMENT ACCOUNTING,6,
Accounting and Finance,AC6122 , ADVANCED FINANCIAL REPORTING II,6,
Accounting and Finance,AC6131 , RISK MODELLING AND DERIVATIVE MARKETS,6,
Accounting and Finance,AC6132 , ADVANCED TAXATION II,6,
Accounting and Finance,AC6141 , ADVANCED TAXATION I,6,
Accounting and Finance,AC6142 , DATA SCIENCE FOR RISK MANAGEMENT,6,
Accounting and Finance,AC6151 ," AUDITING, ASSURANCE AND GOVERNANCE",6,
Accounting and Finance,AC6152 , ADVANCED AUDITING AND ASSURANCE,6,
Accounting and Finance,AC6161 , ADVANCED FINANCIAL REPORTING I,6,
Accounting and Finance,AC6162 , WEALTH AND PORTFOLIO MANAGEMENT,9,
Accounting and Finance,AC6171 , FINANCIAL ANALYSIS AND GOVERNANCE,9,
Accounting and Finance,AC6172 , DATA SCIENCE FOR RISK MANAGEMENT,6,
Accounting and Finance,AC6181 , GLOBAL FINANCE,9,
Accounting and Finance,AC6182 , FINANCING SYSTEM CHANGE,6,
Accounting and Finance,AC6192 ," CONTEMPORARY GLOBAL ISSUES IN FINANCE, INSURANCE, AND RISK",3,
Accounting and Finance,AS2382 , INTRODUCTION TO ACCOUNTING AND FINANCE,6,
Accounting and Finance,BS4406 , PROJECT PROPOSAL ,6,
Accounting and Finance,BS4416 , INSURANCE AND EUROPEAN STUDIES PROJECT 1,6,
Accounting and Finance,BS4418 , INSURANCE AND EUROPEAN STUDIES PROJECT 2,12,
Accounting and Finance,BS4447 , FINAL YEAR PROJECT 1 (LAW AND ACCOUNTING),6,
Accounting and Finance,BS4448 , FINAL YEAR PROJECT 2 (LAW AND ACCOUNTING),6,
Accounting and Finance,CB5021 , FORENSIC ACCOUNTING AND FINANCIAL REPORTS,9,
Accounting and Finance,FI0613 , BUSINESS TAXATION,3,
Accounting and Finance,FI0614 , INTERNATIONAL FINANCE,6,
Accounting and Finance,FI3001 , FINANCIAL FOR NON,6,
Accounting and Finance,FI4000 , INTERNATIONAL FINANCIAL MARKETS AND TRADING,6,
Accounting and Finance,FI4002 , FINANCIAL SERVICES SKILLS PORTFOLIO,6,
Accounting and Finance,FI4003 , FINANCE,6,
Accounting and Finance,FI4005 , ADVANCED CORPORATE FINANCE,6,
Accounting and Finance,FI4007 , INVESTMENTS: ANALYSIS AND MANAGEMENT,6,
Accounting and Finance,FI4008 , EMPIRICAL FINANCE,6,
Accounting and Finance,FI4012 , FOUNDATIONS OF AIRCRAFT LEASING,6,
Accounting and Finance,FI4015 , CORPORATE FINANCE,6,
Accounting and Finance,FI4017 , FINANCIAL MANAGEMENT IN EXERCISE AND HEALTH FITNESS,6,
Accounting and Finance,FI4018 , ENERGY MARKETS,6,
Accounting and Finance,FI4407 , FINANCIAL INSTITUTIONS AND MARKETS,6,
Accounting and Finance,FI4905 , FINANCE,6,
Accounting and Finance,FI5001 , FINANCIAL MANAGEMENT,6,
Accounting and Finance,FI5002 , CORPORATE FINANCE,6,
Accounting and Finance,FI5012 , AVIATION LEGISLATION ,6,
Accounting and Finance,FI6001 , FINANCING INTERNATIONAL SMALL BUSINESSES,6,
Accounting and Finance,FI6002 , FIXED INCOME MODELS,6,
Accounting and Finance,FI6003 , RESEARCH DISSERTATION (COMPUTATIONAL FINANCE),30,
Accounting and Finance,FI6011 , WEALTH MANAGEMENT,6,
Accounting and Finance,FI6012 , PORTFOLIO RISK ANALYSIS,6,
Accounting and Finance,FI6013 , TAXATION,3,
Accounting and Finance,FI6014 , INTERNATIONAL FINANCE,3,
Accounting and Finance,FI6015 , DEEP LEARNING FOR FINANCE,6,
Accounting and Finance,FI6016 , PROJECT AND DISSERTATION ,24,
Accounting and Finance,FI6021 , International Corporate Finance,6,
Accounting and Finance,FI6023 , BUSINESS ACCOUNTING AND FINANCE,6,
Accounting and Finance,FI6024 , MACHINE LEARNING FOR FINANCE,6,
Accounting and Finance,FI6026 , PROJECT AND DISSERTATION ,30,
Accounting and Finance,FI6031 , Banking and Portfolio Management,6,
Accounting and Finance,FI6032 , CREDIT RISK AND DERIVATIVE PRODUCTS,6,
Accounting and Finance,FI6033 , BUSINESS ACCOUNTING AND FINANCE,6,
Accounting and Finance,FI6035 , DERIVATIVE MARKETS,6,
Accounting and Finance,FI6041 , RESEARCH METHODS IN FINANCE,6,
Accounting and Finance,FI6042 , RESEARCH IN FINANCE WORKSHOPS,6,
Accounting and Finance,FI6043 , AIRCRAFT LEASING,3,
Accounting and Finance,FI6051 , DERIVATIVE INSTRUMENTS,6,
Accounting and Finance,FI6052 , CORPORATE / AIRLINE FINANCE,6,
Accounting and Finance,FI6053 , AIRLINE FINANCE AND OPERATIONS,6,
Accounting and Finance,FI6061 , RESEARCH METHODS IN EMPIRICAL FINANCE,6,
Accounting and Finance,FI6062 , AIRCRAFT LEASING: ASSET AND LEASE MANAGEMENT,6,
Accounting and Finance,FI6071 , DYNAMIC ASSET PRICING THEORY,6,
Accounting and Finance,FI6081 , IMPLEMENTING MARKET MODELS,6,
Accounting and Finance,FI6091 , WEALTH AND PORTFOLIO MANAGEMENT,6,
Accounting and Finance,FI6101 , GLOBAL FINANCE AND CAPITAL MARKETS,6,
Accounting and Finance,FI6103 , DISSERTATION IN FINANCE 1,12,
Accounting and Finance,FI6111 , RESEARCH METHODS IN FINANCE 1,3,
Accounting and Finance,FI6112 , RESEARCH METHODS IN FINANCE 2,3,
Accounting and Finance,FI6113 , DISSERTATION IN FINANCE 2,12,
Accounting and Finance,FI6121 , FINANCIAL MODELLING AND DATA ANALYTICS,6,
Accounting and Finance,FI6123 , INTERNATIONAL BUSINESS WORKSHOP,3,
Accounting and Finance,FI6131 , TRADING FLOOR CERTIFICATION,3,
Accounting and Finance,FI6141 , DERIVATIVE MARKETS,6,
Accounting and Finance,FI6151 , MACHINE LEARNING IN FINANCE,6,
Accounting and Finance,FI6161 , CAPITAL MARKETS & CORPORATE FINANCE,6,
Accounting and Finance,FI6171 , RESEARCH METHODS IN BUSINESS 1,3,
Accounting and Finance,IN3902 , RISK MANAGEMENT (DE),6,
Accounting and Finance,IN4003 , PRINCIPLES OF RISK MANAGEMENT,6,
Accounting and Finance,IN4004 , INSURANCE LAW AND CLAIMS,6,
Accounting and Finance,IN4005 , RISK ANALYSIS,6,
Accounting and Finance,IN4007 , GOVERNANCE AND RISK,6,
Accounting and Finance,IN4008 , REINSURANCE / ART,6,
Accounting and Finance,IN4014 , LIFE INSURANCE,6,
Accounting and Finance,IN4015 , RISK AND INSURANCE,6,
Accounting and Finance,IN4407 , RISK ANALYSIS,6,
Accounting and Finance,IN4408 , INSURANCE LAW AND CLAIMS,6,
Accounting and Finance,IN4418 , RISK CONTROL AND UNDERWRITING,6,
Accounting and Finance,IN4427 , INSURANCE ORGANISATIONS AND MARKETS,6,
Accounting and Finance,IN4706 , INSURANCE LAW AND CLAIMS,6,
Accounting and Finance,IN4715 , PRINCIPLES OF LIFE INSURANCE,6,
Accounting and Finance,IN4716 , UNDERWRITING MANAGEMENT,6,
Accounting and Finance,IN4718 , REINSURANCE/ART,6,
Accounting and Finance,IN4725 , RISK AND INSURANCE,6,
Accounting and Finance,IN4735 , INSURANCE ORGANISATIONS,6,
Accounting and Finance,IN4738 , INTERNATIONAL INSURANCE,6,
Accounting and Finance,IN4748 , LIFE INSURANCE AND FINANCIAL PLANNING,6,
Accounting and Finance,IN4905 , PRINCIPLES OF RISK MANAGEMENT,6,
Accounting and Finance,IN5103 ," RISK, ETHICS, GOVERNANCE AND ARTIFICIAL INTELLIGENCE",6,
Accounting and Finance,IN6002 , INTEGRATED RISK MANAGEMENT,6,
Accounting and Finance,IN6011 , RISK AND DERIVATIVE MARKETS,6,
Accounting and Finance,IN6012 , FINANCIAL REGULATION,6,
Accounting and Finance,IN6021 , INSURING LIFE AND HEALTH RISKS,6,
Accounting and Finance,IN6022 , INSURING RISK IN NATURE AND INDUSTRY,6,
Accounting and Finance,IN6032 , MODELLING RISK IN NATURE AND INDUSTRY,6,
Accounting and Finance,IN6042 , UNDERWRITING RISK,6,
Accounting and Finance,IN6052 , RISK ANALYTICS AND BIG DATA,6,
Accounting and Finance,IN6062 , DATA GOVERNANCE AND ETHICS,6,
Accounting and Finance,MG3512 , HEALTH SECTOR FINANCE,6,
Accounting and Finance,MG4003 , Financial Reporting and Analysis,9,
Accounting and Finance,MG6013 , CORPORATE SOCIAL RESPONSIBILITY AND SUSTAINABLE ENTERPRISE,3,
Accounting and Finance,MN6817 , BUSINESS ACCOUNTING AND FINANCE,6,
Accounting and Finance,NG9102 , FINANCIAL ECONOMETRICS 2,10,
Accounting and Finance,NG9103 , PROJECT,30,
Accounting and Finance,NG9112 , SEMINAR IN FINANCE AND INFORMATION SYSTEMS,5,
Accounting and Finance,NG9122 , INFORMATION SYSTEMS MANAGEMENT,5,
Accounting and Finance,NG9132 , DECISION SYSTEMS AND BUSINESS ANALYTICS,5,
Accounting and Finance,NG9142 , INFORMATION SYSTEMS INNOVATION,5,
Accounting and Finance,NG9152 , INFORMATION SYSTEMS SECURITY AND ETHICS,5,
Accounting and Finance,NG9162 , ENTERPRISE SYSTEMS,5,
Accounting and Finance,NG9172 , ELECTRONIC COMMERCE STRATEGY,5,
Accounting and Finance,NG9182 , INTERNATIONAL FINANCE,10,
Accounting and Finance,NG9192 , ENTERPRISE SYSTEMS,5,
Accounting and Finance,SG6002 , CORPORATE RESPONSIBILITY,6,
Accounting and Finance,SG8002 , PHILOSOPHY OF SCIENCE,6,
Accounting and Finance,TT3001 , APPLIED INCOME TAXES,9,
Accounting and Finance,TT3011 , APPLIED CAPITAL TAXES,6,
Accounting and Finance,TT3021 , APPLIED INDIRECT TAXES,9,
Accounting and Finance,TT3022 , APPLIED CORPORATION TAX,9,
Accounting and Finance,TT3031 , FINANCIAL ACCOUNTING FOR TAX ADMINISTRATION,9,
Accounting and Finance,TT3032 , TRANSFER PRICING,9,
Accounting and Finance,TT3042 , APPLIED CUSTOMS,9,
Accounting and Finance,TT3052 , TAX COLLECTION AND COMPLIANCE,9,
Accounting and Finance,TT3062 , ADVANCED CORPORATION TAX,9,
Accounting and Finance,TT4006 , CORPORATION TAX,6,
Accounting and Finance,TT4007 , INTERNATIONAL TAX ISSUES,6,
Accounting and Finance,TT4008 , REVENUE LAW,6,
Accounting and Finance,TT4013 , REVENUE AUDIT 1,6,
Accounting and Finance,TT4014 , CAPITAL GAINS TAX,6,
Accounting and Finance,TT4015 , REVENUE AUDIT 3,3,
Accounting and Finance,TT4017 , ADVANCED ACCOUNTING,6,
Accounting and Finance,TT4018 , ADVANCED TAX ISSUES,6,
Accounting and Finance,TT4023 , VALUE ADDED TAX 1,12,
Accounting and Finance,TT4024 , REVENUE AUDIT 2,12,
Accounting and Finance,TT4025 , VALUED ADDED TAX 2,6,
Accounting and Finance,TT4028 , SCHEDULE D 1,6,
Accounting and Finance,TT4033 , PERSONAL TAX 1,6,
Accounting and Finance,TT4034 , VALUE ADDED TAX INTERMEDIATE,6,
Accounting and Finance,TT4037 , FINAL YEAR PROJECT 1,6,
Accounting and Finance,TT4039 , VALUE ADDED TAX 1,6,
Accounting and Finance,TT4040 , VALUED ADDED TAX 2,6,
Accounting and Finance,TT4041 , VALUED ADDED TAX 3,6,
Accounting and Finance,TT4043 , VALUE ADDED TAX FOUNDATION,6,
Accounting and Finance,TT4044 , REVENUE AUDIT INTERMEDIATE,6,
Accounting and Finance,TT4047 , LAW AND TAXATION OF PROPERTY TRANSACTIONS 1,6,
Accounting and Finance,TT4048 , FINAL YEAR PROJECT,6,
Accounting and Finance,TT4051 , FINANCIAL ACCOUNTING 1,6,
Accounting and Finance,TT4052 , FINANCIAL ACCOUNTING 2,12,
Accounting and Finance,TT4053 , REVENUE AUDIT FOUNDATION,12,
Accounting and Finance,TT4057 , FINANCIAL SERVICES 1,6,
Accounting and Finance,TT4058 , LAW AND TAXATION OF PROPERTY TRANSACTIONS 2,6,
Accounting and Finance,TT4061 , CUSTOMS,9,
Accounting and Finance,TT4063 , INDIRECT TAXES FOUNDATION,6,
Accounting and Finance,TT4064 , SCHEDLUE D ,6,
Accounting and Finance,TT4065 , INTRODUCTION TO ACCOUNTING (BOOK KEEPING),6,
Accounting and Finance,TT4067 , CORPORATE REPORTING,6,
Accounting and Finance,TT4068 , FINANCIAL SERVICES 2,6,
Accounting and Finance,TT4071 , ADVANCED CORPORATION TAX,9,
Accounting and Finance,TT4074 , FIDUCIARY AUDIT,12,
Accounting and Finance,TT4077 , SOCIAL ADMINISTRATION AND TAX,6,
Accounting and Finance,TT4078 , RISK MANAGEMENT AND GOVERNANCE IN THE PUBLIC SECTOR,6,
Accounting and Finance,TT4081 , TAX APPEALS,3,
Accounting and Finance,TT4082 , REVENUE AUDIT,3,
Accounting and Finance,TT4087 , REVENUE ADMINISTRATION,3,
Accounting and Finance,TT4088 , TAXATION DATA ANALYSIS,6,
Accounting and Finance,TT4097 , RISK MANAGEMENT AND GOVERNANCE STRUCTURES,3,
Accounting and Finance,TT4102 , CORPORATION TAX 1 AND 2,6,
Accounting and Finance,TT4110 , FINANCIAL ACCOUNTING 3,6,
Accounting and Finance,TT4111 , FINANCIAL ACCOUNTING 4,6,
Accounting and Finance,TT4176 , PERSONAL TAX 2,6,
Accounting and Finance,TX4007 , TAXATION FOR CORPORATES,6,
Accounting and Finance,TX4008 , INTERNATIONAL TAX,6,
Accounting and Finance,TX4204 , CAPITAL TAXATION,6,
Accounting and Finance,TX4305 , TAXATION THEORY AND PRACTICE,6,
Accounting and Finance,TX4407 , CORPORATE TAXATION,6,
Accounting and Finance,TX5001 , TAXATION,6,
Accounting and Finance,TX6001 , PERSONAL TAXES,6,
Accounting and Finance,TX6002 , CAPITAL TAXES,6,
Accounting and Finance,TX6011 , BUSINESS TAXES,6,
Accounting and Finance,TX6012 , INDIRECT TAXES,6,
Accounting and Finance,TX6021 , REVENUE LAW,6,
Accounting and Finance,TX6022 , PRINCIPLES OF INTERNATIONAL TAX,6,
Accounting and Finance,TX6032 , Taxation of Financial Services,6,
Accounting and Finance,TX6041 , SEMINAR SERIES 1,3,
Accounting and Finance,TX6042 , SEMINAR SERIES 2,3,
Architechture and Product Design,AR2001 , FAB LEARNING PORTFOLIO,12,
Architechture and Product Design,AR4000 , LIMERICK: LOCAL HISTORY AND URBAN GOVERNANCE IN ARCHITECTURE,6,
Architechture and Product Design,AR4001 , DESIGN STUDIO 1A,15,
Architechture and Product Design,AR4002 , DESIGN STUDIO 1B,15,
Architechture and Product Design,AR4004 , DESIGN STUDIO 2B,15,
Architechture and Product Design,AR4005 , DESIGN STUDIO 3A,15,
Architechture and Product Design,AR4006 , DESIGN STUDIO 3B,15,
Architechture and Product Design,AR4007 , DESIGN STUDIO 4A,18,
Architechture and Product Design,AR4008 , DESIGN STUDIO 4B,18,
Architechture and Product Design,AR4010 , DESIGN STUDIO 5B ,21,
Architechture and Product Design,AR4011 , GRAVITY AND REACTION 1,3,
Architechture and Product Design,AR4012 , GRAVITY AND REACTION 2,3,
Architechture and Product Design,AR4013 , GRAVITY AND REACTION 3,3,
Architechture and Product Design,AR4014 , GRAVITY AND REACTION 4,3,
Architechture and Product Design,AR4015 , GRAVITY AND REACTION 5,3,
Architechture and Product Design,AR4016 , GRAVITY AND REACTION 6,3,
Architechture and Product Design,AR4017 , REPRESENTATION THEORY 1,3,
Architechture and Product Design,AR4018 , REPRESENTATION THEORY 2,3,
Architechture and Product Design,AR4019 , PROFESSIONAL PRACTICE: CONTRACTS,3,
Architechture and Product Design,AR4021 , REPRESENTATION / DRAWING 1,3,
Architechture and Product Design,AR4022 , REPRESENTATION / DRAWING 2,3,
Architechture and Product Design,AR4023 , REPRESENTATION / DRAWING 3,3,
Architechture and Product Design,AR4024 , REPRESENTATION / DRAWING 4,3,
Architechture and Product Design,AR4025 , REPRESENTATION / DRAWING 5,3,
Architechture and Product Design,AR4026 , REPRESENTATION / DRAWING 6,3,
Architechture and Product Design,AR4027 ," CULTURE, PLACE AND ENVIRONMENT 2",3,
Architechture and Product Design,AR4028 ," CULTURE, PLACE AND ENVIRONMENT 3",3,
Architechture and Product Design,AR4031 , HISTORY AND THEORY OF ARCHITECTURE 1,3,
Architechture and Product Design,AR4032 , HISTORY AND THEORY OF ARCHITECTURE 2,3,
Architechture and Product Design,AR4033 , HISTORY AND THEORY OF ARCHITECTURE 3,3,
Architechture and Product Design,AR4034 , HISTORY AND THEORY OF ARCHITECTURE 4,3,
Architechture and Product Design,AR4035 , HISTORY AND THEORY OF ARCHITECTURE 5,3,
Architechture and Product Design,AR4036 , HISTORY AND THEORYOF ARCHITECTURE  6,3,
Architechture and Product Design,AR4037 , SEMINAR IN HISTORY AND THEORY 1,3,
Architechture and Product Design,AR4038 , SEMINAR IN HISTORY AND THEORY 2,3,
Architechture and Product Design,AR4041 , ASSEMBLY AND TECHNIQUES 1,3,
Architechture and Product Design,AR4042 , ASSEMBLY AND TECHNIQUES 2,3,
Architechture and Product Design,AR4043 , ASSEMBLY AND TECHNIQUES 3,3,
Architechture and Product Design,AR4044 , MATERIALS 1,3,
Architechture and Product Design,AR4045 , ASSEMBLY AND TECHNIQUES 4,3,
Architechture and Product Design,AR4046 , ASSEMBLY AND TECHNIQUES 5,3,
Architechture and Product Design,AR4047 , PROFESSION AND SOCIETY 1,3,
Architechture and Product Design,AR4048 , PROFESSION AND SOCIETY 2,3,
Architechture and Product Design,AR4051 , ENVIRONMENTAL SYSTEMS AND FORCES 1,3,
Architechture and Product Design,AR4052 , ENVIRONMENTAL SYSTEMS AND FORCES 2,3,
Architechture and Product Design,AR4053 , ENVIRONMENTAL SYSTEMS AND FORCES 3,3,
Architechture and Product Design,AR4054 , ENVIRONMENTAL SYSTEMS AND FORCES 4,3,
Architechture and Product Design,AR4055 ," CULTURE, PLACE AND ENVIRONMENT 1",3,
Architechture and Product Design,AR4056 , ENVIRONMENTAL SYSTEMS AND FORCES 5,3,
Architechture and Product Design,AR4058 , PROFESSION AND SOCIETY,3,
Architechture and Product Design,AR4068 , ADVANCED CONSTRUCTION 2,3,
Architechture and Product Design,AR4073 , DESIGN STUDIO 2A,15,
Architechture and Product Design,AR4099 , DESIGN STUDIO 5A ,21,
Architechture and Product Design,AR4310 , ADVANCED CONSTRUCTION 4,3,
Architechture and Product Design,AR4317 , ADVANCED CONSTRUCTION 1,3,
Architechture and Product Design,AR4319 , ADVANCED CONSTRUCTION 3,3,
Architechture and Product Design,AR4327 , CULTURE PLACE ENVIRONMENT (BUILDING LAND),6,
Architechture and Product Design,AR4337 , URBAN DESIGN,6,
Architechture and Product Design,AR4347 , DESIGN PHILOSOPHY,6,
Architechture and Product Design,AR4357 , ARCHITECTURAL FORM & CULTURE,6,
Architechture and Product Design,AR4367 , DIGITAL TECHNOLOGY,6,
Architechture and Product Design,AR4377 , ENGINEERING RESEARCH,6,
Architechture and Product Design,AR4387 , EXPERIMENTAL CONSTRUCTION,6,
Architechture and Product Design,AR4397 , UTOPIAN STUDIES,6,
Architechture and Product Design,AR4407 , ARCHITECTURE INTELLIGENCE UNIT,6,
Architechture and Product Design,AR4417 , DIGITAL MEDIA AND REPRESENTATION,6,
Architechture and Product Design,AR6001 , DESIGN STUDIO 1 (GRADUATE ENTRY),12,
Architechture and Product Design,AR6002 , DESIGN STUDIO 2 (GRADUATE ENTRY),12,
Architechture and Product Design,AR6003 , GRADUATE DESIGN PROJECT 1,12,
Architechture and Product Design,AR6004 , GRADUATE DESIGN PROJECT 2,12,
Architechture and Product Design,AR6005 , GRADUATE THESIS PROJECT 1,12,
Architechture and Product Design,AR6006 , GRADUATE THESIS PROJECT 2,12,
Architechture and Product Design,AR6011 ," HISTORY, THEORY AND CRITICISM IN ARCHITECTURE",6,
Architechture and Product Design,AR6012 , VISUAL CULTURE AND EXPRESSION,6,
Architechture and Product Design,AR6013 , GRADUATE DESIGN RESEARCH 1,6,
Architechture and Product Design,AR6014 , GRADUATE DESIGN RESEARCH 2,6,
Architechture and Product Design,AR6015 , GRADUATE THESIS DISSERTATION 1,6,
Architechture and Product Design,AR6016 , GRADUATE THESIS DISSERTATION 2,6,
Architechture and Product Design,AR6021 , DIGITAL REPRESENTATION,6,
Architechture and Product Design,AR6022 , ENVIRONMENTAL SYSTEMS AND FORCES,6,
Architechture and Product Design,AR6023 , ADVANCED CONSTRUCTION TECHNOLOGY,6,
Architechture and Product Design,AR6024 , PROFESSION AND PRACTICE OF ARCHITECTURE,6,
Architechture and Product Design,AR6025 , GRADUATE THESIS SEMINAR 1,6,
Architechture and Product Design,AR6026 , GRADUATE THESIS SEMINAR 2,6,
Architechture and Product Design,AR6031 , STRUCTURAL CONCEPTS: GRAVITY AND REACTION,6,
Architechture and Product Design,AR6032 ," CONSTRUCTION DOCUMENTS: CODING, ORGANISING AND MANAGING INFORMATION",6,
Architechture and Product Design,AR6033 , UTOPIAN STUDIES (GRDUATE ELECTIVE),6,
Architechture and Product Design,AR6043 , DIGITAL MEDIA AND REPRESENTATION (GRADUATE ELECTIVE),6,
Architechture and Product Design,AR6053 , EXPERIMENTAL CONSTRUCTION (GRADUATE ELECTIVE),6,
Architechture and Product Design,AR6063 , ENGINEERING RESEARCH (GRADUATE ELECTIVE),6,
Architechture and Product Design,AR6073 , DIGITAL TECHNOLGY (GRADUATE ELECTIVE),6,
Architechture and Product Design,AR6083 , ARCHITECTURAL FORM AND CULTURE (GRADUATE ELECTIVE),6,
Architechture and Product Design,AR6093 , DESIGN PHILOSOPHY (GRADUATE ELECTIVE),6,
Architechture and Product Design,AR6103 , URBAN DESIGN (GRADUATE ELECTIVE),6,
Architechture and Product Design,AR6113 , CULTURE PLACE ENVIRONMENT (GRADUTE ELECTIVE),6,
Architechture and Product Design,BR4021 , BROADENING: OUR CITY ,6,
Architechture and Product Design,BR4091 , BROADENING THROUGH SUSTAINABLE DEVELOPMENT,6,
Architechture and Product Design,ID4811 , INDUSTRIAL DESIGN 1,6,
Architechture and Product Design,ID4812 , INDUSTRIAL DESIGN 2,6,
Architechture and Product Design,ME5021 , INDUSTRIAL DESIGN,6,
Architechture and Product Design,PD4003 , ERGONOMICS FOUNDATION,6,
Architechture and Product Design,PD4004 , DESIGN VISUALISATION,6,
Architechture and Product Design,PD4005 , ADVANCED MODELLING OF FORM,6,
Architechture and Product Design,PD4006 , PRODUCT PROTOTYPING AND DEVELOPMENT,6,
Architechture and Product Design,PD4007 , PRODUCT ERGONOMICS,6,
Architechture and Product Design,PD4008 , PSYCHOLOGY FOR DESIGN,6,
Architechture and Product Design,PD4013 , AESTHETICS FOUNDATION AND FORM,6,
Architechture and Product Design,PD4014 , DESIGN CONCEPT DEVELOPMENT AND REALISATION,6,
Architechture and Product Design,PD4015 , USABILITY ENGINEERING,6,
Architechture and Product Design,PD4016 , AESTHETICS : APPEARANCE AND EXECUTION,6,
Architechture and Product Design,PD4017 , DESIGN PROJECT 1,18,
Architechture and Product Design,PD4018 , DESIGN PROJECT 2,18,
Architechture and Product Design,PD4023 , DESIGN RESEARCH AND SPECIFICATION,6,
Architechture and Product Design,PD4024 , DESIGN FOR ENVIRONMENTAL SUSTAINABILITY,6,
Architechture and Product Design,PD4026 , DESIGN ERGONOMICS,6,
Architechture and Product Design,PD4027 , HUMAN FACTORS IN DESIGN,6,
Architechture and Product Design,PD4033 , DESIGN FOR PROFESSIONAL PRACTICE,6,
Architechture and Product Design,PD4036 ," DESIGN REALISATION, CONCEPT TO PRODUCT",6,
Architechture and Product Design,PD4043 , Design Studio 3,12,
Architechture and Product Design,PD4044 , Design Studio 4,12,
Architechture and Product Design,PD4053 , DESIGN RESEARCH IN PRACTICE,6,
Architechture and Product Design,PD4063 , INTRODUCTION TO DIGITAL MODELLING AND PROTOTYPING FOR DESIGN,6,
Architechture and Product Design,PD4101 , DESIGN STUDIO 1,6,
