,,
Module Code , Title,Credits
AR4032 , HISTORY AND THEORY OF ARCHITECTURE 2,3
AR4033 , HISTORY AND THEORY OF ARCHITECTURE 3,3
AR4034 , HISTORY AND THEORY OF ARCHITECTURE 4,3
AR4035 , HISTORY AND THEORY OF ARCHITECTURE 5,3
AR4036 , HISTORY AND THEORYOF ARCHITECTURE  6,3
AR4037 , SEMINAR IN HISTORY AND THEORY 1,3
AR4038 , SEMINAR IN HISTORY AND THEORY 2,3
AR4041 , ASSEMBLY AND TECHNIQUES 1,3
AR4042 , ASSEMBLY AND TECHNIQUES 2,3
AR4043 , ASSEMBLY AND TECHNIQUES 3,3
AR4044 , MATERIALS 1,3
AR4045 , ASSEMBLY AND TECHNIQUES 4,3
AR4046 , ASSEMBLY AND TECHNIQUES 5,3
AR4047 , PROFESSION AND SOCIETY 1,3
AR4048 , PROFESSION AND SOCIETY 2,3
AR4051 , ENVIRONMENTAL SYSTEMS AND FORCES 1,3
AR4052 , ENVIRONMENTAL SYSTEMS AND FORCES 2,3
AR4053 , ENVIRONMENTAL SYSTEMS AND FORCES 3,3
AR4054 , ENVIRONMENTAL SYSTEMS AND FORCES 4,3
AR4055 ," CULTURE, PLACE AND ENVIRONMENT 1",3
AR4056 , ENVIRONMENTAL SYSTEMS AND FORCES 5,3
AR4058 , PROFESSION AND SOCIETY,3
AR4068 , ADVANCED CONSTRUCTION 2,3
AR4073 , DESIGN STUDIO 2A,15
AR4099 , DESIGN STUDIO 5A ,21
AR4310 , ADVANCED CONSTRUCTION 4,3
AR4317 , ADVANCED CONSTRUCTION 1,3
AR4319 , ADVANCED CONSTRUCTION 3,3
AR4327 , CULTURE PLACE ENVIRONMENT (BUILDING LAND),6
AR4337 , URBAN DESIGN,6
AR4347 , DESIGN PHILOSOPHY,6
AR4357 , ARCHITECTURAL FORM & CULTURE,6
AR4367 , DIGITAL TECHNOLOGY,6
AR4377 , ENGINEERING RESEARCH,6
AR4387 , EXPERIMENTAL CONSTRUCTION,6
AR4397 , UTOPIAN STUDIES,6
AR4407 , ARCHITECTURE INTELLIGENCE UNIT,6
AR4417 , DIGITAL MEDIA AND REPRESENTATION,6
AR6001 , DESIGN STUDIO 1 (GRADUATE ENTRY),12
AR6002 , DESIGN STUDIO 2 (GRADUATE ENTRY),12
AR6003 , GRADUATE DESIGN PROJECT 1,12
AR6004 , GRADUATE DESIGN PROJECT 2,12
AR6005 , GRADUATE THESIS PROJECT 1,12
AR6006 , GRADUATE THESIS PROJECT 2,12
AR6011 ," HISTORY, THEORY AND CRITICISM IN ARCHITECTURE",6
AR6012 , VISUAL CULTURE AND EXPRESSION,6
AR6013 , GRADUATE DESIGN RESEARCH 1,6
AR6014 , GRADUATE DESIGN RESEARCH 2,6
AR6015 , GRADUATE THESIS DISSERTATION 1,6
AR6016 , GRADUATE THESIS DISSERTATION 2,6
AR6021 , DIGITAL REPRESENTATION,6
AR6022 , ENVIRONMENTAL SYSTEMS AND FORCES,6
AR6023 , ADVANCED CONSTRUCTION TECHNOLOGY,6
AR6024 , PROFESSION AND PRACTICE OF ARCHITECTURE,6
AR6025 , GRADUATE THESIS SEMINAR 1,6
AR6026 , GRADUATE THESIS SEMINAR 2,6
AR6031 , STRUCTURAL CONCEPTS: GRAVITY AND REACTION,6
AR6032 ," CONSTRUCTION DOCUMENTS: CODING, ORGANISING AND MANAGING INFORMATION",6
AR6033 , UTOPIAN STUDIES (GRDUATE ELECTIVE),6
AR6043 , DIGITAL MEDIA AND REPRESENTATION (GRADUATE ELECTIVE),6
AR6053 , EXPERIMENTAL CONSTRUCTION (GRADUATE ELECTIVE),6
AR6063 , ENGINEERING RESEARCH (GRADUATE ELECTIVE),6
AR6073 , DIGITAL TECHNOLGY (GRADUATE ELECTIVE),6
AR6083 , ARCHITECTURAL FORM AND CULTURE (GRADUATE ELECTIVE),6
AR6093 , DESIGN PHILOSOPHY (GRADUATE ELECTIVE),6
AR6103 , URBAN DESIGN (GRADUATE ELECTIVE),6
AR6113 , CULTURE PLACE ENVIRONMENT (GRADUTE ELECTIVE),6
AS2001 , HUMANITIES FOUNDATION 1: SOCIOLOGY AND POLITICS,6
AS2202 , INTRODUCTION TO SPANISH LANGUAGE 2,3
AS2301 , INTRODUCTION TO SPANISH LANGUAGE 1,3
AS2311 , COMPUTER SKILLS MODULE,6
AS2312 , COMPUTER SKILLS MODULE (ECDL),6
AS2322 , MATHEMATICS AND STATISTICS MODULE,6
AS2331 , STUDY SKILLS MODULE 1,6
AS2332 , STUDY SKILLS MODULE,6
AS2341 , EDUCATIONAL GUIDANCE,6
AS2342 , EDUCATIONAL GUIDANCE MODULE,6
AS2351 , PERSONAL DEVELOPMENT MODULE,3
AS2352 , PERSONAL DEVELOPMENT MODULE,6
AS2371 , Humanities Foundation 1,6
AS2381 , INTRODUCTION TO ECONOMICS,6
AS2382 , INTRODUCTION TO ACCOUNTING AND FINANCE,6
AS2391 , MANUFACTURING TECHNOLOGY AND CAD,6
AS2393 , Humanities Foundation 2: English: Politics and Public Administration: History: Sociology.,6
AS2401 , FOUNDATION EDUCATIONAL AND CAREER GUIDANCE 1,6
AS2402 , INTRODUCTION TO ENGINEERING,6
AS2412 , COMPUTER SKILLS 2,6
AS2422 , STUDY SKILLS 2,6
AS2432 , HUMANITIES FOUNDATION 2: HISTORY AND ENGLISH LITERATURE,6
AS2442 , FOUNDATION EDUCATIONAL AND CAREER GUIDANCE 2,6
AU3001 , INTRODUCTION TO LEARNING,6
AU3002 , INTRODUCTION TO OPERATIONS ENGINEERING,6
AU3003 , MATHS 2,6
AU3004 , INTRODUCTION TO ENVIRONMENTAL SCIENCE,6
AU3011 , MATHS 1,6
AU3012 , BIOLOGY AND BIOTECHNOLOGY 1,6
AU3013 , PHYSICS 2,6
AU3014 , OPERATIONS ENGINEERING,6
AU3021 , CHEMISTRY,6
AU3022 , PHYSICS 1,6
AU3023 , STATISTICS,6
AU3024 , ORGANISATIONAL BEHAVIOUR,6
AU3031 , INFORMATION TECHNOLOGY,6
AU3032 , INTRODUCTION TO MANAGEMENT,6
AU3033 , PROJECT 1,6
AU3034 , PROJECT 2,6
AU3041 ," SCIENCE, TECHNOLOGY AND INNOVATION",6
AU3042 , INTRODUCTION TO OPERATIONS ENGINEERING,6
AU3051 , DATABASE APPLICATIONS,6
AU3061 , MOLECULAR MEDICINE 1,6
AU3071 , ANALYTICAL CHEMISTRY,6
AU3081 , ENVIRONMENTAL CHEMISTRY,6
AU3091 , BIOLOGY AND BIOTECHNOLOGY 2,6
AU3101 , DESIGN OF ENGINEERING SYSTEMS,6
AU3111 , INTRODUCTION TO MANAGEMENT SCIENCE,6
AU3121 , CAD MODELLING,6
AU3131 , INTRODUCTION TO QUALITY MANAGEMENT,6
AU4001 , ANATOMY,6
AU4002 , CELL BIOLOGY,6
AU4003 , HEALTH AND SAFETY SYSTEMS,6
AU4004 , MATERIALS SCIENCE AND PROCESSES,6
AU4011 , AUTOMATION 1,6
AU4012 , DESIGN FOR ENVIRONMENT,6
AU4013 , IMMUNOLOGY AND HUMAN THERAPEUTICS,6
AU4014 , MECHANICS OF SOLIDS,6
AU4021 , AUTOMATION 2,6
AU4022 , DESIGN FOR ENGINEERING SYSTEMS,6
AU4023 , INNOVATION MANAGEMENT,6
AU4024 , MEDICAL DEVICE DESIGN,6
AU4031 , BIOCOMPATIBILITY AND DEVICE DESIGN,6
AU4032 , ENGINEERING MECHANICS,6
AU4033 , INTRODUCTION TO MARKETING,6
AU4034 , NEXT GENERATION SEQUENCING TECHNOLOGIES,6
AU4041 , BIOMECHANICS,6
AU4042 , ENTERPRISE MODELLING AND SIMULATION,6
AU4043 , LEAN THINKING / LEAN TOOLS,6
AU4044 , PROBLEM SOLVING TOOLS AND TECHNIQUES,6
AU4051 , BIOMEDICAL DATA MANAGEMENT,6
AU4052 , ENVIRONMENTAL IMPACT ASSESSMENT,6
AU4053 , MACHINE DESIGN,6
AU4054 , PRODUCT AND PROCESS DEVELOPMENT,6
AU4061 , BIOMEDICAL IMAGING TECHNOLOGIES,6
AU4062 , ENVIRONMENTAL MANAGEMENT SYSTEMS,6
AU4063 , MANAGEMENT INFORMATION SYSTEMS,6
AU4064 , PROJECT 3,6
AU4071 , BIOPROCESS TECHNOLOGY,6
AU4072 , ENVIRONMENTAL SCIENCE,6
AU4073 , MANUFACTURING TECHNOLOGY,6
AU4074 , PROJECT 4,6
AU4081 , CAD MODELLING,6
AU4082 , GENOME TECHNOLOGIES,6
AU4083 , MARKETING INFORMATION AND RESEARCH,6
AU4084 , PROJECT MANAGEMENT,6
AU4091 , CELL AND TISSUE CULTURE,6
AU4092 , GLYCOBIOLOGY,6
AU4093 , MARKETING POLICY AND PLANNING,6
AU4094 , QUALITY SCIENCE ,6
AU4104 , REGULATORY COMPLIANCE,6
AU4114 , RESEARCH METHODOLOGY,6
AU4124 , SELLING AND SALES MANAGEMENT,6
AU4134 , SUSTAINABILITY AND DESIGN,6
AU4144 , TECHNOLOGY INNOVATION AND ENTREPRENEURSHIP,6
AU4154 , UPSTREAM AND DOWNSTREAM PROCESSING,6
AU5001 , INNOVATION AND TECHNOLOGY TRANSFER,6
AU5002 , Strategic Business and Technology Management,6
AU5003 , Dissertation,15
AU5004 , Dissertation,15
AU5011 , STRATEGIC BUSINESS AND OPERATIONS MANAGEMENT,6
AU5012 , TECHNOLOGY FINANCE AND CAPITAL,6
AU5013 , Product Design and Development,6
AU5014 ," Enterprise, Product Modelling and Simulation",6
AU5021 , Organising for Effective Innovation,6
AU5022 , MANAGING TECHNOLOGY PROJECTS,6
AU5023 , Manufacturing Improvement Methodologies,6
AU5024 ," Science, Technology and Society",6
AU5031 , Information Systems and Software Management,6
AU5032 , MARKETING TECHNOLOGY PRODUCTS,6
AU5033 ," LEADERSHIP, CHANGE AND INNOVATION MANAGEMENT",6
AU5034 , Human Resources for Technology Management,6
AU5041 , LEAN THINKING / LEAN TOOLS 1,6
AU5042 , LEAN THINKING / LEAN TOOLS 2,6
AU5043 , ENTERPRISE IMPROVEMENT PROJECT,30
AU5051 , PROBLEM SOLVING TOOLS AND TECHNIQUES,6
AU5052 , TECHNOLOGY INNOVATION AND ENTREPRENEURSHIP,6
AU5061 , ORGANISATION BEHAVIOUR AND DEVELOPMENT,6
AU5062 , TECHNOLOGY COMMERCIALISATION PROJECT,12
AU5071 , INNOVATION MANAGEMENT PROJECT 1,6
AU5072 , INNOVATION MANAGEMENT PROJECT 2,6
AU5081 , MANAGING INNOVATION,6
AU5082 , LEAN HEALTH PROJECT,12
AU5091 ," LEAN SIGMA, PROJECT MANAGEMENT AND FINANCE",6
AU5092 , LEAN SYSTEMS PROJECT,12
AU5101 , DIGITALISATION OF PROCESS,6
AU5102 , IMPROVING BUSINESS PROCESSES,6
AU5111 , INTRODUCTION TO CYBER,6
AU5112 , INTRODUCTION TO DATA ANALYTICS/VISUALISATION & MACHINE LEARNING,6
AU5122 , APPLIED RESEARCH PROJECT IN BUSINESS PROCESS DIGITALISATION,12
AU5132 , STRATEGIC BUSINESS PLANNING AND EVALUATION,6
AU6003 , LEAN TOOLS AND TECHNIQUES,6
AW4001 , ACADEMIC LITERACIES 1,6
AW4002 , ACADEMIC LITERACIES 2,6
AW4006 , PEER,6
AW6001 , ACADEMIC LITERACIES FOR INTERNATIONAL POSTGRADUATE STUDENTS 1,3
AW6002 , THESIS WRITING,3
AW6012 , ACADEMIC LITERACIES FOR INTERNATIONAL POSTGRADUATE STUDENTS 12,3
BA4001 , Test,6
BA4717 , UNDERGRADUATE DISSERTATION 1,6
BA4718 , UNDERGRADUATE DISSERTATION 2,6
BC4001 , APPLIED IMMUNOLOGY,6
BC4002 , INTRODUCTORY BIOCHEMISTRY,6
BC4008 , IMMUNO AND DNA DIAGNOSTIC TECHNIQUES,6
BC4011 , BIOPROCESS ENGINEERING FOR BIOCHEMISTS,6
BC4201 , VALIDATION PRINCIPLES AND PRACTICES FOR THE MEDICAL DEVICE INDUSTRY,9
BC4401 , INTRODUCTION TO INDUSTRIAL BIOCHEMISTRY,6
BC4405 , BIOPROCESS TECHNOLOGY 1,6
BC4705 , INDUSTRIAL BIOCHEMISTRY 1,6
BC4718 , INDUSTRIAL BIOCHEMISTRY 2,6
BC4802 , BIOCHEMICAL ENGINEERING,6
BC4803 , MICROBIAL TECHNOLOGY 1A,6
BC4825 , MICROBIAL TECHNOLOGY 2,6
BC4903 , BIOMOLECULES,6
BC4904 , PROTEINS AND DNA,6
BC4905 , GENETIC ENGINEERING,6
BC4907 , CELL BIOCHEMISTRY,6
BC4908 , BIOCHEMISTRY 8 (STRUCTURAL BIOCHEMISTRY OF PROTEINS),6
BC4917 , BIOCHEMISTRY PROJECT 1,6
BC4918 , BIOCHEMISTRY PROJECT 2,6
BC4938 , DIAGNOSTIC TECHNIQUES,6
BC4947 , IMMUNOLOGY,6
BC4957 , BIOINFORMATICS IN GENETIC AND PROTEIN ANALYSIS,6
BC4958 , MICROBIAL PATHOGENICITY,6
BC4967 , RESEARCH METHODS,6
BC4968 , FUNDAMENTALS OF REGULATORY AFFAIRS (MEDICAL DEVICE INDUSTRY),9
BC5001 , REGULATORY REQUIREMENTS FOR A NEW ACTIVE SUBSTANCE: CHEMICAL AND PHARMACEUTICAL,9
BC5002 , DRUG REGULATION AND THE AGENCIES,3
BC5011 , REGULATORY STRATEGY AND REQUIREMENTS FOR ESTABLISHED ACTIVE SUBSTANCES,9
BC5012 , REGULATORY AFFAIRS INTERACTIONS IN DRUG DEVELOPMENT AND PRODUCT MARKETING,9
BC5022 , KEY REGULATORY CONSIDERATIONS FOR NON,6
BM4001 , KNOWLEDGE OF HEALTH AND ILLNESS 1,30
BM4002 , KNOWLEDGE OF HEALTH AND ILLNESS 2,30
BM4003 , GENERAL PRACTICE / PRIMARY CARE,24
BM4004 , MEDICINE,24
BM4011 , CLINICAL AND ANATOMICAL SKILLS 1,15
BM4012 , CLINICAL AND ANATOMICAL SKILLS 2,15
BM4013 , OBSTETRICS AND GYNAECOLOGY,9
BM4014 , SURGERY,24
BM4021 , PROFESSIONAL COMPETENCIES 1,15
BM4022 , PROFESSIONAL COMPETENCIES 2,15
BM4023 , PROFESSIONAL COMPETENCIES 3,6
BM4024 , PROFESSIONAL COMPETENCIES 4,12
BM4031 , CLINICAL MEDICINE AND CLINICAL SKILLS,6
BM4032 , DRUG DELIVERY,6
BM4034 , MEDICINE 2,12
BM4041 ," MAMMALIAN TISSUE ARCHITECTURE, STRUCTURE AND FUNCTION",6
BM4042 , BIOMEDICAL SCIENCE FINAL YEAR PROJECT PART 2,6
BM4043 , PSYCHIATRY,9
BM4044 , SURGERY 2,12
BM4051 , DIAGNOSTIC TECHNIQUES AND PRACTICES,6
BM4053 , MEDICINE 1,15
BM4054 , OBSTETRICS AND GYNAECOLOGY,9
BM4061 , BIOMEDICAL SCIENCE FINAL YEAR PROJECT PART 1,6
BM4063 , SURGERY 1,15
BM4064 , PAEDIATRICS,9
BM4071 , COMMUNICATION AND INTERPRETING IN THE IRISH HEALTHCARE SYSTEM,6
BM4074 , PSYCHIATRY,9
BM4084 , PROFESSIONAL COMPETENCIES,9
BM4102 , HEALTH SYSTEMS,6
BM4112 , ETHICAL AND LEGAL ISSUES IN HEALTH INFORMATICS,6
BM5053 , INTRODUCTION TO PARTICIPATORY HEALTH RESEARCH FOR PUBLIC & PATIENT INVOLVEMENT,6
BM5054 , PPI RESEARCH PROJECT AND TUTORIAL ,6
BM5055 , METHODS IN PARTICIPATORY HEALTH RESEARCH I,3
BM5056 , METHODS IN PARTICIPATORY HEALTH RESEARCH II,6
BM6001 , LEARNING & TEACHING IN HEALTH PROFESSIONS EDUCATION,12
BM6002 , EDUCATION SUPPORT,9
BM6003 , CURRICULUM DEVELOPMENT AND DESIGN,9
BM6004 , RESEARCH IN HEALTH PROFESSIONS EDUCATION,12
BM6005 , RESEARCH DISSERTATION (PART I),15
BM6006 , RESEARCH DISSERTATION (PART II),15
BM6011 , METHODS IN PARTICIPATORY HEALTH RESEARCH,6
BM6012 , ASSESSMENT IN HEALTH PROFESSIONS EDUCATION,9
BM6013 , LEADERSHIP IN HEALTH PROFESSIONS EDUCATION,9
BM6021 , PUBLIC AND PATIENT INVOLVEMENT IN HEALTH RESEARCH,6
BM6022 , INTRODUCTION TO PARTICIPATORY HEALTH RESEARCH,3
BM6023 , PARTICIPATORY LEARNING AND ACTION FOR PUBLIC AND PATIENT INVOLVEMENT,6
BM6031 , PUBLIC HEALTH AND HEALTH SYSTEMS,9
BM6032 , ADVANCED PARTICIPATORY HEALTH RESEARCH,6
BM6033 , PUBLIC AND PATIENT INVOLVEMENT TRAINING SCHOOL,3
BM6041 , PUBLIC HEALTH INTERVENTIONS,9
BM6042 , MONITORING AND EVALUATION IN PUBLIC HEALTH,9
BM6043 , PUBLIC HEALTH RESEARCH PROJECT,30
BM6051 , PUBLIC HEALTH RESEARCH AND DATA ANALYSIS,9
BM6052 , GLOBAL HEALTH AND SUSTAINABLE DEVELOPMENT,9
BM6062 , PUBLIC HEALTH PRACTICUM,15
BR4001 , BROADENING: SOCIAL AND CIVIC ENGAGEMENT,6
BR4002 , BROADENING: ENGLISH AS WE SPEAK IT IN IRELAND,6
BR4011 , BROADENING FOR BETTER FUTURES: SCIENCE AND MEDICINE IN HISTORY AND SOCIETY,6
BR4012 , BROADENING: COMMUNICATION ACROSS CULTURES,6
BR4021 , BROADENING: OUR CITY ,6
BR4022 , BROADENING MODULE: THE EUROPEAN UNION: BROADENING THE PERSPECTIVE,6
